Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54373705,0.45626298,0.0
733,0.035598423,0.10336473,0.079387985,0.0,0.0,0.319373,0.0,0.0,0.46227583,0.0
734,0.0,0.20252144,0.20252144,0.0,0.17593986,0.20252144,0.0,0.13083917,0.085656725,0.0
735,0.37932009,0.0,0.0,0.0,0.0,0.1411239,0.31101236,0.0,0.16854368,0.0
736,0.0,0.0,0.07606043,0.0,0.0,0.59709334,0.0,0.0,0.0,0.32684624
737,0.0,0.43302956,0.33357006,0.0,0.0,0.06395923,0.0,0.043399576,0.12604159,0.0
738,0.117585585,0.38232478,0.049149647,0.0,0.0,0.0,0.0,0.0,0.38232478,0.06861517
739,0.35702378,0.0,0.13418774,0.0,0.31048653,0.0,0.0,0.0,0.036158707,0.16214333
740,0.38333774,0.0,0.0058271335,0.0,0.0,0.2689807,0.0056284023,0.2177363,0.1103748,0.008114873
741,0.0,0.0,0.22843285,0.0,0.0,0.0,0.38578358,0.0,0.38578358,0.0
742,0.06294905,0.3182976,0.0611512,0.0,0.0,0.0,0.3182976,0.12142183,0.1178828,0.0
743,0.0,0.48408073,0.0,0.0,0.0,0.07245571,0.0,0.0,0.37153813,0.07192539
744,0.0,0.65624964,0.0,0.0,0.0,0.035089698,0.0,0.0,0.0,0.3086607
745,0.0,0.4608671,0.0,0.0,0.0,0.089893125,0.21469837,0.0597337,0.17480776,0.0
746,0.09884467,0.40698805,0.0,0.08717918,0.0,0.0,0.40698805,0.0,0.0,0.0
747,0.0,0.22945225,0.2698043,0.0,0.0,0.0,0.0,0.0,0.0,0.50074345
748,0.31574923,0.1082344,0.0,0.0,0.0,0.31574923,0.26026714,0.0,0.0,0.0
749,0.032309096,0.25385863,0.0,0.0,0.25174624,0.23866388,0.0,0.0,0.22342221,0.0
750,0.0,0.3052928,0.26977244,0.0,0.085472636,0.0,0.3052928,0.0,0.0,0.03416933
751,0.0,0.2988782,0.023953458,0.0,0.0,0.07941198,0.2988782,0.0,0.0,0.2988782
752,0.48596627,0.22614992,0.28788376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,0.0,0.23999535,0.0,0.0,0.06211761,0.0,0.19409744,0.23999535,0.023798913,0.23999535
755,0.10954665,0.30840033,0.0,0.0,0.015442502,0.0,0.30840033,0.0,0.0,0.25821024
756,0.0,0.0,0.0,0.0,0.1381504,0.0,0.26152414,0.0,0.34552145,0.25480404
757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
758,0.19977888,0.19977888,0.09523088,0.0,0.0,0.0,0.12223669,0.19977888,0.0,0.18319581
759,0.0,0.1874945,0.07013252,0.0,0.0,0.3573018,0.0630999,0.0,0.0,0.32197127
760,0.0,0.17866734,0.0,0.0,0.0,0.0,0.0,0.0,0.82133263,0.0
761,0.0,0.0,0.0,0.090152085,0.0,0.36154133,0.18901335,0.0,0.31060305,0.0486902
762,0.0,0.44469163,0.0,0.0,0.0,0.0,0.110616766,0.0,0.0,0.44469163
763,0.32835713,0.32835713,0.032127894,0.0,0.0,0.0,0.0,0.0,0.0,0.31115788
764,0.2650704,0.13882071,0.0,0.0,0.0,0.26352903,0.1443833,0.0,0.18819657,0.0
765,0.13020535,0.369476,0.0,0.0,0.0,0.17502408,0.0,0.0,0.037567865,0.28772667
766,0.0,0.0,0.17369342,0.0,0.0,0.0,0.18641864,0.0,0.41782063,0.22206727
767,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
768,0.30249798,0.30249798,0.006332403,0.0,0.0,0.08617365,0.30249798,0.0,0.0,0.0
769,0.14274277,0.2578989,0.0,0.0,0.0,0.0,0.2578989,0.0,0.08356051,0.2578989
770,0.0,0.19893308,0.29756835,0.0,0.0,0.0,0.0,0.079997905,0.42350063,0.0
771,0.24503273,0.15804732,0.0,0.0,0.0,0.24503273,0.060506642,0.0,0.16130483,0.13007577
772,0.0,0.1363258,0.23540978,0.0,0.0,0.014048248,0.31352958,0.0,0.048635922,0.2520506
773,0.0,0.25896874,0.2603951,0.0,0.0,0.015105987,0.15960243,0.0,0.04553264,0.2603951
774,0.23715897,0.23715897,0.22155064,0.0,0.0,0.03340365,0.0,0.0,0.23715897,0.033568863
775,0.12747255,0.24353676,0.0,0.0,0.027192967,0.0,0.23939008,0.24353676,0.118870944,0.0
776,0.15996459,0.0,0.53998107,0.0,0.0,0.0,0.3000543,0.0,0.0,0.0
777,0.0,0.58812094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118791
778,0.0,0.9456887,0.0,0.0,0.0,0.0,0.0,0.0,0.054311287,0.0
779,0.0,0.24718049,0.0,0.0,0.0,0.07753417,0.25795987,0.0,0.25795987,0.15936556
780,0.0,0.0,0.0,0.0,0.3321854,0.0,0.21893682,0.0,0.22242796,0.2264498
781,0.00781606,0.35531414,0.0,0.0,0.0,0.44704273,0.18982711,0.0,0.0,0.0
782,0.46469462,0.46469462,0.0,0.0,0.0,0.0,0.0,0.07061068,0.0,0.0
783,0.0,0.2304598,0.2523715,0.0,0.0,0.19875279,0.31841597,0.0,0.0,0.0
784,0.0,0.3073101,0.1978155,0.0,0.0,0.3073101,0.042133987,0.0,0.076185085,0.069245204
785,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
786,0.13459677,0.2721523,0.0,0.0,0.0,0.22744721,0.09365145,0.0,0.2721523,0.0
787,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
788,0.2925082,0.0,0.04626884,0.0,0.0,0.0,0.3243634,0.0,0.33685952,0.0
789,0.23716407,0.23716407,0.0,0.0,0.0,0.067973875,0.23716407,0.0,0.22053397,0.0
790,0.083394304,0.20763938,0.16740216,0.0,0.0,0.07447055,0.20763938,0.0,0.20292978,0.056524377
